"","number","city","state"
"1",143,"HOUSTON","TX"
"2",53,"AUSTIN","TX"
"3",21,"DALLAS","TX"
"88",17,"LASVEGAS","NV"
"4",14,"COLLEGESTATION","TX"
"5",13,"SANANTONIO","TX"
"6",11,"MIDLAND","TX"
"78",8,"BOSTON","MA"
"7",7,"FORTWORTH","TX"
"8",7,"KATY","TX"
"9",6,"ODESSA","TX"
"10",6,"RICHMOND","TX"
"11",5,"SPRING","TX"
"12",4,"CORPUSCHRISTI","TX"
"73",4,"NEWORLEANS","LA"
"13",3,"ARLINGTON","TX"
"14",3,"CYPRESS","TX"
"15",3,"LEAGUECITY","TX"
"16",3,"LUBBOCK","TX"
"79",3,"QUINCY","MA"
"17",2,"BAYCITY","TX"
"18",2,"BAYTOWN","TX"
"19",2,"BEAUMONT","TX"
"20",2,"ELGIN","TX"
"21",2,"FRISCO","TX"
"22",2,"GALVESTONCOUNTY","TX"
"23",2,"HUMBLE","TX"
"24",2,"NAVASOTA","TX"
"25",2,"PEARLAND","TX"
"74",2,"VIDALIA","LA"
"80",2,"CAMBRIDGE","MA"
"26",1,"ABILENE","TX"
"27",1,"AGGIELAND","TX"
"28",1,"AUSTIN/COLLEGESTATION","TX"
"29",1,"BELLAIRE","TX"
"30",1,"BELTON","TX"
"31",1,"BURNE","TX"
"32",1,"CEDARPARK","TX"
"33",1,"CLEBURNE","TX"
"34",1,"COMMERCE","TX"
"35",1,"CYPESSSPRINGS","TX"
"36",1,"DALLAS/FORTWORTH","TX"
"37",1,"DENTON","TX"
"38",1,"GARLAND","TX"
"39",1,"GRAPEVINE","TX"
"40",1,"HOUSTON/HUMBLE","TX"
"41",1,"KELLER","TX"
"42",1,"KILLEEN","TX"
"43",1,"KLEIN","TX"
"44",1,"KOUNTZE","TX"
"45",1,"LAMESA","TX"
"46",1,"LEWISVILLE","TX"
"47",1,"LUMBERTON","TX"
"48",1,"MARSHALL","TX"
"49",1,"MARTIN'SMILL","TX"
"50",1,"MCALLEN","TX"
"51",1,"MISSOURICITY","TX"
"52",1,"MONTGOMERY","TX"
"53",1,"NEWORLEANSTOAUSTIN","TX"
"54",1,"OVILLA","TX"
"55",1,"PASADENA","TX"
"56",1,"PHARR","TX"
"57",1,"PLEASANTON","TX"
"58",1,"PORTARTHUR","TX"
"59",1,"QATIF/HOUSTON","TX"
"60",1,"RICHARDSON","TX"
"61",1,"RIDGEMONT","TX"
"62",1,"ROBINSON","TX"
"63",1,"ROSENBERG","TX"
"64",1,"ROUNDROCK","TX"
"65",1,"ROYSECITY","TX"
"66",1,"RUSK","TX"
"67",1,"SENTAI","TX"
"68",1,"SHENANDOAH","TX"
"69",1,"SHITGETREAL","TX"
"70",1,"SUGARLAND","TX"
"71",1,"TEXASCITY","TX"
"72",1,"WESTUNIVERSITYPLACE","TX"
"75",1,"LAFAYETTE","LA"
"76",1,"MADISONVILLE","LA"
"77",1,"NATCHITOCHES","LA"
"81",1,"ACTON","MA"
"82",1,"BEDFORD","MA"
"83",1,"CHESTNUTHILL","MA"
"84",1,"FALLRIVER","MA"
"85",1,"NORTHAMPTON","MA"
"86",1,"SPRINGFIELD","MA"
"87",1,"WELLESLEY","MA"
"89",1,"CARSONCITY","NV"
"90",1,"NORTHLASVEGAS","NV"
"91",1,"WESTWENDOVER","NV"
