"","9-4","9-5","9-6","9-7","9-8"
"1","HOUSTON","HOUSTON","HOUSTON","HOUSTON","HOUSTON"
"2","AUSTIN","AUSTIN","AUSTIN","AUSTIN","AUSTIN"
"3","DALLAS","DALLAS","DALLAS","DALLAS","DALLAS"
"4","LASVEGAS","SANANTONIO","SANANTONIO","SANANTONIO","BOSTON"
"5","COLLEGESTATION","BOSTON","FORTWORTH","BOSTON","SANANTONIO"
"6","SANANTONIO","LASVEGAS","BOSTON","LASVEGAS","LASVEGAS"
"7","MIDLAND","KATY","LASVEGAS","FORTWORTH","KATY"
"8","BOSTON","COLLEGESTATION","CORPUSCHRISTI","NEWORLEANS","FORTWORTH"
"9","FORTWORTH","BEAUMONT","RICHLANDHILLS","CORPUSCHRISTI","WORCESTER"
"10","KATY","FORTWORTH","PLANO","MISSOURICITY","NEWORLEANS"
"11","ODESSA","PLANO","THEWOODLANDS","THEWOODLANDS","CYPRESS"
"12","RICHMOND","SPRING","ARLINGTON","ARLINGTON","BATONROUGE"
"13","SPRING","SUGARLAND","COLLEGESTATION","CYPRESS","CORPUSCHRISTI"
"14","CORPUSCHRISTI","ARLINGTON","IRVING","SCREWSTON","IRVING"
"15","NEWORLEANS","NEWORLEANS","NEWORLEANS","SUGARLAND","SUGARLAND"
"16","ARLINGTON","CORPUSCHRISTI","DENTON","KATY","VICTORIA"
"17","CYPRESS","FRAMINGHAM","ELPASO","RICHMOND","WACO"
"18","LEAGUECITY","PEARLAND","TOMBALL","COLLEGESTATION","ARLINGTON"
"19","LUBBOCK","TOMBALL","BATONROUGE","LEAGUECITY","PEARLAND"
"20","QUINCY","BATONROUGE","ABILENE","CAMBRIDGE","ALVIN"
